### Format: relation|@id|@name|@place|@highway|@route|@ref|@oneway|@maxspeed|relation_type|membertype;@id;@role|...
### Format: way|@id|@name|@place|@highway|@route|@ref|@oneway|@maxspeed|member nodes|...
### Format: node|@id|@name|@place|@highway|@route|@ref|@oneway|@maxspeed|node_lat|node_lon
node|51344677||||||||42.5467824|1.6994742
node|51344678||||||||42.5459149|1.7002778
node|51344679||||||||42.5451733|1.7014651
node|51344681||||||||42.5444461|1.7058854
node|51344682||||||||42.5440667|1.7115932
node|51344683||||||||42.5439719|1.7156701
node|51344685||||||||42.5437505|1.7221933
node|51344687||||||||42.543877|1.7256265
node|51344688||||||||42.5443829|1.7281585
node|51344690||||||||42.545616|1.7311197
node|51345073||||||||42.5484882|1.6975846
node|51347750||||||||42.5703738|1.6051459
node|51347752||||||||42.5706793|1.6059722
node|51347925||||||||42.5702032|1.6049657
node|51347926||||||||42.5704908|1.6053219
node|51348096||||||||42.5739452|1.6186762
node|51348165||||||||42.571598|1.6092199
node|51348167||||||||42.5716088|1.6095928
node|51348517||||||||42.5682563|1.6031118
node|51348571||||||||42.5721677|1.6136026
node|51349842|||crossing|||||42.5680143|1.6025218
node|51350384||||||||42.5657697|1.5974027
node|51350385||||||||42.5657377|1.5972833
node|51357951||||||||42.503856|1.519811
node|51358402||||||||42.5083966|1.5286781
node|51359278||||||||42.5067648|1.5262874
node|51359279||||||||42.5067859|1.5267088
node|51359280||||||||42.5069115|1.5272696
node|51359281||||||||42.5070111|1.5273754
